keyword_or_domain,country,date,google_trends_index,google_trends_index_dod,google_trends_index_wow,google_trends_3d_mean,google_trends_7d_mean,google_trends_7d_std,google_trends_7d_max,google_trends_vs_7d_mean_ratio
insulated lunch bag,GLOBAL,2026-03-27,13.133333333333333,,,13.133333333333333,13.133333333333333,,13.133333333333333,1.0
insulated lunch bag,GLOBAL,2026-03-28,20.5,7.366666666666667,,16.816666666666666,16.816666666666666,5.2090199547409,20.5,1.2190287413280476
insulated lunch bag,GLOBAL,2026-03-29,17.208333333333332,-3.291666666666668,,16.947222222222223,16.947222222222223,3.690268107292979,20.5,1.0154073102770036
insulated lunch bag,GLOBAL,2026-03-30,17.833333333333332,0.625,,18.51388888888889,17.16875,3.0454913168668063,20.5,1.038708894551632
insulated lunch bag,GLOBAL,2026-03-31,18.333333333333332,0.5,,17.791666666666668,17.401666666666664,2.688403594866085,20.5,1.0535389330523897
insulated lunch bag,GLOBAL,2026-04-01,18.166666666666668,-0.1666666666666643,,18.11111111111111,17.529166666666665,2.4247780539899133,20.5,1.0363679581649634
insulated lunch bag,GLOBAL,2026-04-02,19.041666666666668,0.875,,18.51388888888889,17.745238095238097,2.2861390767638956,20.5,1.0730578290621227
insulated lunch bag,GLOBAL,2026-04-03,14.3,-4.741666666666667,1.1666666666666679,17.169444444444448,17.91190476190476,1.9045623655403887,20.5,0.7983517213877444
travel cosmetic bag,GLOBAL,2026-03-27,19.666666666666668,,,19.666666666666668,19.666666666666668,,19.666666666666668,1.0
travel cosmetic bag,GLOBAL,2026-03-28,24.791666666666668,5.125,,22.229166666666668,22.229166666666668,3.623922253581056,24.791666666666668,1.1152764761012184
travel cosmetic bag,GLOBAL,2026-03-29,26.875,2.083333333333332,,23.777777777777782,23.777777777777782,3.7095815627062803,26.875,1.1302570093457942
travel cosmetic bag,GLOBAL,2026-03-30,23.916666666666668,-2.958333333333332,,25.194444444444443,23.8125,3.029656654547581,26.875,1.004374453193351
travel cosmetic bag,GLOBAL,2026-03-31,16.666666666666668,-7.25,,22.486111111111114,22.383333333333333,4.134815762387592,26.875,0.7446016381236039
travel cosmetic bag,GLOBAL,2026-04-01,17.416666666666668,0.75,,19.333333333333332,21.555555555555557,4.217660181594458,26.875,0.8079896907216495
travel cosmetic bag,GLOBAL,2026-04-02,23.5,6.083333333333332,,19.194444444444443,21.833333333333336,3.919694456157217,26.875,1.0763358778625953
travel cosmetic bag,GLOBAL,2026-04-03,5.4,-18.1,-14.266666666666667,15.43888888888889,19.795238095238098,7.398954907969012,26.875,0.2727928794803945
