category_id,category_en,category_cn,parent_id,level,product_count
4851856051,"Clothing, Shoes & Accessories",服装鞋靴配饰,,L1,562619
4851975051,Home,家居,,L1,249457
4852617051,Toys & Games,玩具及游戏,,L1,220091
4851626051,Books,图书,,L1,215939
2490359051,Kindle Store,Kindle 商店,,L1,175668
4851799051,Electronics,电子产品,,L1,169855
4852330051,CDs & Vinyl,音乐唱片,,L1,155891
4852150051,Kitchen & Dining,厨房餐饮,,L1,149194
4852559051,"Sports, Fitness & Outdoors",运动健身户外,,L1,136127
4851567051,Beauty,美妆,,L1,121305
4851683051,Computers,电脑,,L1,104071
4852033051,Home Improvement,家装,,L1,103534
4852264051,Movies & TV,影视,,L1,99776
4851917051,"Health, Household & Personal Care",健康家居个护,,L1,78903
4852445051,Stationery & Office Products,文具及办公,,L1,67085
5514967051,Pet Supplies,宠物用品,,L1,60957
4851453051,Automotive,汽车零配件,,L1,59008
5653743051,Garden,花园,,L1,39719
4851510051,Baby,母婴,,L1,33538
4852675051,Video Games,电子游戏,,L1,20283
4852387051,Musical Instruments,乐器,,L1,18391
5547635051,Grocery,食品杂货,,L1,15781
3969342051,Audible Books & Originals,有声书,,L1,11532
4103126051,Everything Else,其他,,L1,10847
4852207051,Lighting,灯饰照明,,L1,10824
2544160051,Apps & Games,应用及游戏,,L1,5558
6654371051,Prime Video,Prime Video,,L1,1361
4931595051,Alexa Skills,Alexa 技能,,L1,841
4852502051,Software,软件,,L1,771
3969341051,Audible Books & Originals,有声书,,L1,46
4974331051,Amazon Devices & Accessories,Amazon 设备及配件,,L1,41
5264048051,Gift Cards,礼品卡,,L1,21
