category_id,category_en,category_cn,parent_id,level,product_count
21204935011,"Clothing, Shoes & Accessories",服装鞋靴配饰,,L1,65122122
2206275011,Home & Kitchen,家居厨房,,L1,53351104
916520,Books,图书,,L1,34837332
6948389011,Automotive,汽车零配件,,L1,19105428
3006902011,Tools & Home Improvement,工具及家装,,L1,16086354
667823011,Electronics,电子产品,,L1,15808032
2242989011,Sports & Outdoors,运动户外,,L1,11684570
6205499011,"Patio, Lawn & Garden",庭院草坪花园,,L1,8027065
6205177011,Health & Personal Care,健康个护,,L1,6341296
11076213011,Industrial & Scientific,工业及科学用品,,L1,6305887
6205124011,Beauty & Personal Care,美妆个护,,L1,5651326
6205514011,Pet Supplies,宠物用品,,L1,4943658
6205517011,Toys & Games,玩具及游戏,,L1,4688335
6205511011,Office Products,办公用品,,L1,4589558
916514,Music,音乐,,L1,3279881
6916844011,"Musical Instruments, Stage & Studio",乐器及音响设备,,L1,2139392
3561346011,Baby,母婴,,L1,1935260
2972705011,Kindle Store,Kindle 商店,,L1,1637581
2356392011,Everything Else,其他,,L1,1408377
917972,Movies & TV,影视,,L1,1331044
3198031,Video Games,电子游戏,,L1,597348
6967215011,Grocery & Gourmet Food,食品杂货,,L1,541346
6386371011,Amazon Appstore,Amazon 应用商店,,L1,391450
20037537011,Audible Books & Originals,有声书,,L1,298861
18730296011,Prime Video,Prime Video,,L1,79346
3198021,Software,软件,,L1,52737
16286269011,Alexa Skills,Alexa 技能,,L1,26044
16708697011,Handmade,手工制品,,L1,8554
16333543011,Amazon Devices & Accessories,Amazon 设备及配件,,L1,1844
9230166011,Gift Cards,礼品卡,,L1,1005
6205496011,Jewellery,珠宝首饰,,L1,0
2235620011,Watches,手表,,L1,0
