category_id,category_en,category_cn,parent_id,level,product_count
11961464031,Fashion,时尚,,L1,111559650
3167641,"Küche, Haushalt & Wohnen",厨房家居生活,,L1,82237414
186606,Bücher,图书,,L1,47917522
78191031,Auto & Motorrad,汽车摩托车,,L1,37570348
80084031,Baumarkt,建材五金,,L1,33829177
10925031,Garten,花园,,L1,24391393
5866098031,"Gewerbe, Industrie & Wissenschaft",商业工业科技,,L1,20160000
562066,Elektronik & Foto,电子产品及摄影,,L1,19724674
16435051,Sport & Freizeit,运动休闲,,L1,17182791
77195031,Musik-Downloads,音乐下载,,L1,14288729
12950651,Spielzeug,玩具,,L1,9657827
340852031,Haustier,宠物用品,,L1,7934188
64187031,Drogerie & Körperpflege,日用品及个护,,L1,7497129
192416031,Bürobedarf & Schreibwaren,办公及文具,,L1,7019817
84230031,Kosmetik,化妆品,,L1,6740334
340843031,Computer & Zubehör,电脑及配件,,L1,5953236
255882,Musik-CDs & Vinyl,音乐唱片,,L1,4139290
355007011,Baby,母婴,,L1,3492595
340849031,Musikinstrumente & DJ-Equipment,乐器及DJ设备,,L1,3295581
213083031,Beleuchtung,灯饰照明,,L1,2251947
72921031,Sonstiges,其他,,L1,2114870
64274031,Erotik,成人用品,64257031,L1,1642755
908823031,Elektro-Großgeräte,大型家电,,L1,1552135
284266,DVD & Blu-ray,DVD及蓝光,,L1,1473727
340846031,Lebensmittel & Getränke,食品饮料,,L1,1339644
3010075031,Prime Video,Prime Video,,L1,1071101
300992,Games,游戏,,L1,819818
1661648031,Apps & Spiele,应用及游戏,,L1,702943
15759346031,Audible Hörbücher & Originals,有声书,,L1,359611
358556031,"Bier, Wein & Spirituosen",酒类,340847031,L1,241721
301927,Software,软件,,L1,57235
10068460031,Alexa Skills,Alexa 技能,,L1,11467
530484031,Kindle-Shop,Kindle 商店,,L1,9749
22942321031,Amazon Luxury,Amazon 奢侈品,,L1,6789
1161658,Magazine,杂志,,L1,5736
9699311031,Handmade-Produkte,手工制品,,L1,3973
1571256031,Geschenkgutscheine,礼品卡,,L1,1636
3765352031,Premium Beauty,高端美妆,,L1,1162
12598632031,Amazon-Geräte & Zubehör,Amazon 设备及配件,,L1,473
13716138031,Kredit- & Zahlungskarten,信用及支付卡,,L1,19
