category_id,category_en,category_cn,parent_id,level,product_count
5512276031,Moda,时尚,,L1,72632255
599391031,Hogar y cocina,家居厨房,,L1,71764864
599364031,Libros,图书,,L1,34574411
1951051031,Coche y moto,汽车摩托车,,L1,31812632
2454133031,Bricolaje y herramientas,DIY及工具,,L1,26228223
599370031,Electrónica,电子产品,,L1,18704747
1571259031,Jardín,花园,,L1,16657794
2454136031,Deportes y aire libre,运动户外,,L1,14742427
1748200031,Música digital,数字音乐,,L1,14122926
5866088031,"Industria, empresas y ciencia",工业企业科技,,L1,14041037
599385031,Juguetes y juegos,玩具及游戏,,L1,6832544
6198054031,Belleza,美妆,,L1,6421674
667049031,Informática,电脑,,L1,6241949
12472654031,Productos para mascotas,宠物用品,,L1,6203205
3628728031,Oficina y papelería,办公及文具,,L1,5590542
3677430031,Salud y cuidado personal,健康个护,,L1,5237428
3564289031,Iluminación,灯饰照明,,L1,3774074
3628866031,Instrumentos musicales,乐器,,L1,3306386
1703495031,Bebé,母婴,,L1,3235595
599373031,CD y vinilos,音乐唱片,,L1,2755171
599379031,Películas y TV,影视,,L1,1052846
4772050031,Grandes electrodomésticos,大型家电,,L1,986580
818936031,Tienda Kindle,Kindle 商店,,L1,843830
1661649031,Aplicaciones y juegos,应用及游戏,,L1,686143
667040031,Otros Productos,其他,,L1,673426
6198072031,Alimentación y bebidas,食品饮料,,L1,651565
599382031,Videojuegos,电子游戏,,L1,533041
16296206031,Prime Video,Prime Video,,L1,70382
17465193031,Audible Libros y Originales,有声书,,L1,17179
599376031,Software,软件,,L1,13982
13944662031,Alexa Skills,Alexa 技能,,L1,6783
22942672031,Amazon Luxury,Amazon 奢侈品,,L1,5438
9699482031,Productos Handmade,手工制品,,L1,1947
3564279031,Cheques regalo,礼品卡,,L1,701
12598806031,Dispositivos Amazon y accesorios,Amazon 设备及配件,,L1,690
