category_id,category_en,category_cn,parent_id,level,product_count
11961521031,Mode,时尚,,L1,71417027
57004031,Cuisine et Maison,厨房家居,,L1,68765656
301061,Livres,图书,,L1,45184044
1571265031,Auto et Moto,汽车摩托车,,L1,32418679
590748031,Bricolage,DIY及工具,,L1,25173271
13921051,High-Tech,高科技电子,,L1,18934029
3557027031,Jardin,花园,,L1,15833937
5866109031,"Commerce, Industrie et Science",商业工业科技,,L1,15307813
325614031,Sports et Loisirs,运动休闲,,L1,15096591
77196031,Téléchargement de Musique,音乐下载,,L1,9640528
340858031,Informatique,电脑,,L1,7390126
1571268031,Animalerie,宠物用品,,L1,7324927
197858031,Beauté et Parfum,美妆香水,,L1,6398290
192419031,Fournitures de bureau,办公用品,,L1,6211158
322086011,Jeux et Jouets,玩具及游戏,,L1,5970244
197861031,Hygiène et Santé,卫生健康,,L1,5301375
301062,CD et Vinyles,音乐唱片,,L1,4429126
213080031,Luminaires et Éclairage,灯饰照明,,L1,3465063
340861031,Instruments de musique et Sono,乐器及音响,,L1,2996036
206617031,Bébé et Puériculture,母婴用品,,L1,2936815
405322,DVD et Blu-ray,DVD及蓝光,,L1,1367769
72919031,Autres,其他,,L1,1076364
3635788031,Epicerie,食品杂货,,L1,973806
530490,Jeux vidéo,电子游戏,,L1,799153
908826031,Gros électroménager,大型家电,,L1,735575
1661654031,Applis et Jeux,应用及游戏,,L1,645529
17941537031,Livres et œuvres originales Audible,有声书,,L1,121805
16296092031,Prime Video,Prime Video,,L1,74289
530488,Logiciels,软件,,L1,29290
9699368031,Produits Handmade,手工制品,,L1,6089
672108031,Boutique Kindle,Kindle 商店,,L1,5989
13944548031,Skills Alexa,Alexa 技能,,L1,3957
22942789031,Amazon Luxury,Amazon 奢侈品,,L1,1611
2524127031,Boutique cartes cadeaux,礼品卡,,L1,775
12598689031,Appareils Amazon et Accessoires,Amazon 设备及配件,,L1,253
4238422031,Beauté Premium,高端美妆,,L1,12
28216871031,Cours en ligne,在线学习,,L1,0
