category_id,category_en,category_cn,parent_id,level,product_count
11961407031,Fashion,时尚,,L1,87851636
11052681,Home & Kitchen,家居厨房,,L1,59019508
266239,Books,图书,,L1,43122260
248877031,Automotive,汽车零配件,,L1,30676317
79903031,DIY & Tools,DIY及工具,,L1,24858245
560798,Electronics & Photo,电子产品及摄影,,L1,16145530
318949011,Sports & Outdoors,运动户外,,L1,15658080
5866054031,"Business, Industry & Science",商业工业科技,,L1,15156730
11052671,Garden,花园,,L1,13956272
77197031,Digital Music,数字音乐,,L1,12361299
468292,Toys & Games,玩具及游戏,,L1,8400781
192413031,Stationery & Office Supplies,文具及办公,,L1,7671148
340840031,Pet Supplies,宠物用品,,L1,7382879
117332031,Beauty,美妆,,L1,6107139
340831031,Computers & Accessories,电脑及配件,,L1,6073579
65801031,Health & Personal Care,健康个护,,L1,5731417
3146281,Home & Garden,家居及花园,,L1,4127908
229816,CDs & Vinyl,音乐唱片,,L1,4003735
213077031,Lighting,灯饰照明,,L1,3890658
340837031,Musical Instruments & DJ,乐器及DJ设备,,L1,3049045
59624031,Baby Products,母婴用品,,L1,2923873
341677031,Kindle Store,Kindle 商店,,L1,2702505
340834031,Grocery,食品杂货,,L1,2210767
72911031,Everything Else,其他,,L1,2000674
3010085031,Prime Video,Prime Video,,L1,1789493
283926,DVD & Blu-ray,DVD及蓝光,,L1,1214640
908798031,Large Appliances,大型家电,,L1,1006924
300703,PC & Video Games,PC及电子游戏,,L1,715776
1661657031,Apps & Games,应用及游戏,,L1,686402
17941707031,Audible Books & Originals,有声书,,L1,447640
10068517031,Alexa Skills,Alexa 技能,,L1,49844
300435,Software,软件,,L1,40386
22942438031,Amazon Luxury,Amazon 奢侈品,,L1,29858
245407031,Outlet,奥特莱斯,,L1,7896
9699254031,Handmade Products,手工制品,,L1,7053
1571304031,Gift Cards,礼品卡,,L1,1804
13943654031,Home & Business Services,家庭及商业服务,,L1,677
12598575031,Amazon Devices & Accessories,Amazon 设备及配件,,L1,675
3411821031,Premium Beauty,高端美妆,,L1,53
13716081031,Credit & Payment Cards,信用及支付卡,,L1,20
