category_id,category_en,category_cn,parent_id,level,product_count
976389031,Books,图书,,L1,21553334
976442031,Home & Kitchen,家居厨房,,L1,18770082
1571271031,Clothing & Accessories,服装配饰,,L1,17068337
976419031,Electronics,电子产品,,L1,9217945
4772060031,Car & Motorbike,汽车摩托车,,L1,5010731
1571283031,Shoes & Handbags,鞋包,,L1,3248094
3704992031,Home Improvement,家装,,L1,2913292
1350380031,Toys & Games,玩具及游戏,,L1,2898375
1355016031,Beauty,美妆,,L1,2444226
1951048031,Jewellery,珠宝首饰,,L1,2307074
1350384031,Health & Personal Care,健康个护,,L1,2099177
976392031,Computers & Accessories,电脑及配件,,L1,1905768
2454175031,Outdoor Living,户外生活,,L1,1835066
1984443031,"Sports, Fitness & Outdoors",运动健身户外,,L1,1611151
2454172031,Office Products,办公用品,,L1,1553976
5866078031,Industrial & Scientific,工业及科学用品,,L1,1403573
2454178031,Grocery & Gourmet Foods,食品杂货,,L1,1268778
2454181031,Pet Supplies,宠物用品,,L1,1117450
1571277031,Kindle Store,Kindle 商店,,L1,961393
2454169031,"Bags, Wallets and Luggage",箱包钱夹行李,,L1,934678
1571274031,Baby,母婴,,L1,603886
976445031,Music,音乐,,L1,436384
3677697031,Musical Instruments,乐器,,L1,373734
1350387031,Watches,手表,,L1,356770
1661666031,Apps & Games,应用及游戏,,L1,128162
976416031,Movies & TV Shows,影视节目,,L1,102703
15457882031,Prime Video,Prime Video,,L1,56319
976451031,Software,软件,,L1,36145
6648217031,Fashion,时尚,,L1,28812
11928183031,Alexa Skills,Alexa 技能,,L1,22652
3704982031,Gift Cards,礼品卡,,L1,5503
13712257031,Collectibles & Fine Art,收藏品及艺术品,,L1,3739
5122348031,Appliances,家用电器,,L1,1864
12621639031,Amazon Devices & Accessories,Amazon 设备及配件,,L1,598
17941594031,Audible Books & Originals,有声书,,L1,1
