category_id,category_en,category_cn,parent_id,level,product_count
5512286031,Moda,时尚,,L1,62323252
524015031,Casa e cucina,家居厨房,,L1,58942114
1571280031,Auto e Moto,汽车摩托车,,L1,27701144
411663031,Libri,图书,,L1,23725303
2454160031,Fai da te,DIY及工具,,L1,22259329
412609031,Elettronica,电子产品,,L1,15768391
5866068031,"Commercio, Industria e Scienza",商业工业科技,,L1,14489228
524012031,Sport e tempo libero,运动休闲,,L1,13789182
635016031,Giardino e giardinaggio,花园及园艺,,L1,13346527
425916031,Informatica,电脑,,L1,6481448
12472499031,Prodotti per animali domestici,宠物用品,,L1,6205197
6198082031,Bellezza,美妆,,L1,6190162
523997031,Giochi e giocattoli,玩具及游戏,,L1,6169520
1571289031,Salute e cura della persona,健康个护,,L1,5214327
3606310031,Cancelleria e prodotti per ufficio,文具及办公,,L1,5158787
1748203031,Musica Digitale,数字音乐,,L1,4236002
1571292031,Illuminazione,灯饰照明,,L1,3158126
3628629031,Strumenti musicali,乐器,,L1,3048106
1571286031,Prima infanzia,母婴用品,,L1,2924109
412600031,CD e Vinili,音乐唱片,,L1,2904901
14437356031,Grandi elettrodomestici,大型家电,,L1,1033261
412606031,Film e TV,影视,,L1,951762
425919031,Altro,其他,,L1,832569
6198092031,Alimentari e cura della casa,食品及家居护理,,L1,726233
412603031,Videogiochi,电子游戏,,L1,619591
1661660031,App e Giochi,应用及游戏,,L1,592047
16296149031,Prime Video,Prime Video,,L1,87401
17941651031,Audiolibri Audible e Original,有声书,,L1,14682
412612031,Software,软件,,L1,13765
13944605031,Skill Alexa,Alexa 技能,,L1,6898
22942555031,Amazon Luxury,Amazon 奢侈品,,L1,4884
818937031,Kindle Store,Kindle 商店,,L1,1671
9699425031,Prodotti Handmade,手工制品,,L1,1416
3557017031,Buoni regalo,礼品卡,,L1,862
12598749031,Dispositivi Amazon & Accessori,Amazon 设备及配件,,L1,335
