category_id,category_en,category_cn,parent_id,level,product_count
13848838011,"Ropa, Zapatos y Accesorios",服装鞋靴配饰,,L1,29604218
9482593011,Hogar y Cocina,家居厨房,,L1,25415322
9298576011,Libros,图书,,L1,15400508
9482558011,Electrónicos,电子产品,,L1,10320443
9482670011,Herramientas y Mejoras del Hogar,工具及家装,,L1,8852231
9482660011,Deportes y Aire libre,运动户外,,L1,8163387
13848848011,Automotriz y Motocicletas,汽车摩托车,,L1,6586504
11260442011,Juguetes y Juegos,玩具及游戏,,L1,4942101
11260452011,Belleza,美妆,,L1,4256460
6446439011,Tienda Kindle,Kindle 商店,,L1,3271062
11782336011,Productos para animales,宠物用品,,L1,3203730
11076223011,"Industria, Empresas y Ciencia",工业企业科技,,L1,3041394
9673844011,Oficina y Papelería,办公及文具,,L1,3024349
9482610011,Salud y Cuidado Personal,健康个护,,L1,2376436
16215357011,Jardín,花园,,L1,2228862
9482650011,Bebé,母婴,,L1,1332446
9482620011,Música,音乐,,L1,1261761
13848858011,Instrumentos Musicales,乐器,,L1,725110
9482630011,Películas y Series de TV,影视,,L1,706963
17608484011,Alimentos y Bebidas,食品饮料,,L1,398980
9482640011,Videojuegos,电子游戏,,L1,321144
18730353011,Prime Video,Prime Video,,L1,45846
9482690011,Software,软件,,L1,25324
21235439011,Apps y Juegos,应用及游戏,,L1,5434
17553254011,Alexa Skills,Alexa 技能,,L1,3814
16566964011,Productos Handmade,手工制品,,L1,2573
16333429011,Dispositivos Amazon y Accesorios,Amazon 设备及配件,,L1,695
19117234011,Tarjetas de Regalo,礼品卡,,L1,694
