category_id,category_en,category_cn,parent_id,level,product_count
7141123011,"Clothing, Shoes & Jewelry",服装鞋靴珠宝,,L1,231359712
1055398,Home & Kitchen,家居厨房,,L1,119608149
283155,Books,图书,,L1,91576111
15684181,Automotive,汽车零配件,,L1,57413200
163856011,Digital Music,数字音乐,,L1,55771206
228013,Tools & Home Improvement,工具及家装,,L1,32544849
16310091,Industrial & Scientific,工业及科学用品,,L1,27496021
3375251,Sports & Outdoors,运动户外,,L1,24904157
172282,Electronics,电子产品,,L1,22675211
2335752011,Cell Phones & Accessories,手机及配件,,L1,21893490
2972638011,"Patio, Lawn & Garden",庭院草坪花园,,L1,21690445
2617941011,"Arts, Crafts & Sewing",手工艺品及缝纫,,L1,13403986
1064954,Office Products,办公用品,,L1,11795768
3760911,Beauty & Personal Care,美妆个护,,L1,11505033
3760901,Health & Household,健康家居及婴儿护理,,L1,9236512
165793011,Toys & Games,玩具及游戏,,L1,7770212
2619533011,Pet Supplies,宠物用品,,L1,7464121
2625373011,Movies & TV,影视,,L1,6791791
10272111,Everything Else,其他,,L1,6663663
5174,CDs & Vinyl,音乐唱片,,L1,5754175
133140011,Kindle Store,Kindle 商店,,L1,5654175
4991425011,Collectibles & Fine Art,收藏品及艺术品,,L1,4165028
165796011,Baby Products,母婴用品,,L1,3454458
16310101,Grocery & Gourmet Food,食品杂货,,L1,2892577
11091801,Musical Instruments,乐器,,L1,2871041
2619525011,Appliances,家用电器,,L1,1937749
468642,Video Games,电子游戏,,L1,945120
2350149011,Apps & Games,应用及游戏,,L1,849926
18145289011,Audible Books & Originals,有声书,,L1,808669
9013971011,Video Shorts,短视频,,L1,130176
229534,Software,软件,,L1,110344
13727921011,Alexa Skills,Alexa 技能,,L1,101219
11260432011,Handmade Products,手工制品,,L1,62829
10677469011,Amazon Autos,Amazon 汽车,,L1,59451
18981045011,Amazon Luxury,Amazon 奢侈品,,L1,57919
2238192011,Gift Cards,礼品卡,,L1,47474
2858778011,Prime Video,Prime Video,,L1,17310
599858,Magazine Subscriptions,杂志订阅,,L1,4789
16333372011,Amazon Devices & Accessories,Amazon 设备及配件,,L1,289
3561432011,Credit & Payment Cards,信用及支付卡,,L1,72
19419898011,Amazon Explore,Amazon Explore,,L1,0
14297978011,Online Learning,在线学习,,L1,0
